Keychains,,Keys,,,
,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('','Export Design ', NOW(), uuid_nil())",,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('','','Catalog Management','Designs','Export Design ','Export a design at a specific version ', NOW(), uuid_nil())",,FALSE
,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('','Export Design ', NOW(), uuid_nil())",,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('','','Catalog Management','Designs','Export Design ','Export a design to GitHub', NOW(), uuid_nil())",,FALSE
,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('','Export Design ', NOW(), uuid_nil())",,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('','','Catalog Management','Designs','Export Design ','Export a design to GitLab', NOW(), uuid_nil())",,FALSE
,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('','Export Design ', NOW(), uuid_nil())",,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('','','Catalog Management','Designs','Export Design ','Export a design to BitBucket', NOW(), uuid_nil())",,FALSE
Catalog Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Catalog Management','Publish Design', NOW(), uuid_nil())",9e66bdec-4177-42f9-8cec-d9eb52a12c38,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('9e66bdec-4177-42f9-8cec-d9eb52a12c38','Catalog Management','Catalog Management','Designs','Publish Design','Publish a design', NOW(), uuid_nil())",X,FALSE
Catalog Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Catalog Management','Unpublish Design', NOW(), uuid_nil())",c1595c90-b85b-4ac7-b921-f08959926db3,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('c1595c90-b85b-4ac7-b921-f08959926db3','Catalog Management','Catalog Management','Designs','Unpublish Design','Unpublish a design', NOW(), uuid_nil())",X,FALSE
Catalog Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Catalog Management','Validate Design', NOW(), uuid_nil())",da5339dd-a4bc-4b91-8865-d8a703656516,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('da5339dd-a4bc-4b91-8865-d8a703656516','Catalog Management','Catalog Management','Designs','Validate Design','Validate a design', NOW(), uuid_nil())",X,TRUE
Catalog Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Catalog Management','Deploy Design', NOW(), uuid_nil())",595b921a-ea1e-4611-83f0-503db0eeb94d,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('595b921a-ea1e-4611-83f0-503db0eeb94d','Catalog Management','Catalog Management','Designs','Deploy Design','Deploy a design', NOW(), uuid_nil())",X,TRUE
Catalog Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Catalog Management','Undeploy Design', NOW(), uuid_nil())",16b11ffa-7b92-4666-a0ff-191df9cd18b2,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('16b11ffa-7b92-4666-a0ff-191df9cd18b2','Catalog Management','Catalog Management','Designs','Undeploy Design','Retract all resources used in a Meshery design from the cluster', NOW(), uuid_nil())",X,TRUE
Catalog Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Catalog Management','Details of design', NOW(), uuid_nil())",10a03036-53a0-40b3-9f69-6daab852e434,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('10a03036-53a0-40b3-9f69-6daab852e434','Catalog Management','Catalog Management','Designs','Details of design','Set design information or details of a design', NOW(), uuid_nil())",X,TRUE
